child,parent_1,parent_2,parent_3
GEN=1_MEMBER=0_PSO,GEN=0_MEMBER=15,,
GEN=1_MEMBER=1_PSO,GEN=0_MEMBER=11,,
GEN=1_MEMBER=2_PSO,GEN=0_MEMBER=12,,
GEN=1_MEMBER=3_PSO,GEN=0_MEMBER=19,,
GEN=1_MEMBER=4_PSO,GEN=0_MEMBER=17,,
GEN=1_MEMBER=5_PSO,GEN=0_MEMBER=13,,
GEN=1_MEMBER=6_PSO,GEN=0_MEMBER=3,,
GEN=1_MEMBER=7_PSO,GEN=0_MEMBER=8,,
GEN=1_MEMBER=8_PSO,GEN=0_MEMBER=1,,
GEN=1_MEMBER=9_PSO,GEN=0_MEMBER=7,,
GEN=1_MEMBER=10_PSO,GEN=0_MEMBER=4,,
GEN=1_MEMBER=11_PSO,GEN=0_MEMBER=0,,
GEN=1_MEMBER=12_PSO,GEN=0_MEMBER=2,,
GEN=1_MEMBER=13_PSO,GEN=0_MEMBER=5,,
GEN=1_MEMBER=14_PSO,GEN=0_MEMBER=14,,
GEN=1_MEMBER=15_PSO,GEN=0_MEMBER=6,,
GEN=1_MEMBER=16_PSO,GEN=0_MEMBER=18,,
GEN=1_MEMBER=17_PSO,GEN=0_MEMBER=16,,
GEN=1_MEMBER=18_PSO,GEN=0_MEMBER=10,,
GEN=1_MEMBER=19_PSO,GEN=0_MEMBER=9,,
